id,descriptor_id,nombre,created_at,updated_at
19,,Derecho Penal,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
1487,19,Derecho Penal Sustantivo,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
1791,1487,Principios,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
1681,1791,Tipicidad,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
1682,1681,En blanco,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
1895,1681,Dolo,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
1896,1895,No es necesario que exista prueba directa: por ser elemento subjetivo del tipo,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
6024,1895,Alcances,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
1929,1681,Culpa,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
1930,1929,Violación de la obligación de diligencia y prudencia,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
3058,1681,Inimputabilidad,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
3059,3058,Causales de inimputabilidad,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
3060,3059,Por enfermedad mental o grave perturbación de la conciencia,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
1792,1791,Legalidad,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
1793,1792,Ley anterior al hecho delictivo,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
1926,1792,Derecho a una resolución penal precisa con respecto al tipo penal por el que se condena,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
2100,1792,Alcances,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
1893,1791,Culpabilidad,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
1894,1893,Condiciones,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
1801,1487,Delitos,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
1802,1801,Contra la vida,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
1803,1802,Asesinato,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
1804,1803,Elementos que lo configuran,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
10273,1804,Dolo,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
10659,1804,Acción,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
10660,10659,Desproporcionada,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
1995,1803,Pena fija o determinada,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
10164,1995,"Al corresponder 30 años, solo debe verificarse la correcta subsunción",2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
5355,1803,Si bien no es autor material del hecho pero planificó y ejecutó con conocimiento y voluntad,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
5356,1803,"Se aplica la ""Teoría del hecho dominante""",2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
5852,1803,Al ser un delito determinado no se aplica las atenuantes especiales del CP,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
6009,1803,Circunstancias,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
6025,1803,En grado de tentativa,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
6026,6025,Animus Necandi,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
9288,6025,Al no existir planificación del hecho,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
6027,1803,"Muerte a niños, ancianos y personas discapacitadas",2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
10656,1803,Motivos fútiles o bajos,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
10657,1803,Motivos alevosía y ensañamiento,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
10658,1803,Diferencia de asesinato con homicidio,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
1876,1802,Homicidio,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
1877,1876,Autor debe ser debidamente identificado,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
9249,1876,Tentativa,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
9250,9249,Por no existir planificación del hecho,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
9251,1802,Lesiones Gravísimas,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
9252,9251,Debe considerarse dias de impedimento,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
1848,1801,Narcotráfico,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
1849,1848,Transporte de sustancias controladas,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
1850,1849,No es una práctica cultural ancestral,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
1909,1848,"En los delitos vinculados a la Ley 1008 no existe tentativa, son formales y no de resultado.",2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
2541,1848,Tráfico de SS CC,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
2542,2541,Imposible modificar al delito de Transporte de SS CC al concurrir otros elementos del art. 33 inc.m) de la Ley 1008,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
3466,2541,Elementos,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
3467,3466,No constituye el mayor o menor grado de posesión de sustancia controlada un tipo penal más leve,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
9985,3466,poseer dolosamente,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
3370,1848,Suministro,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
